Street,Town,Age,Month/Year,G1,G1
,,17,Apr-19,244974,244974
,,16,May-19,248200,248200
,,14,Sep-19,246933,246933
,,35,Aug-19,248182,248182
,,25,May-19,246332,246332
Treveneague Gardens,Plymouth,15,May-19,,
Benbow Street,Plymouth,39,May-19,,
Norwich Avenue,Plymouth,34,Jun-19,,
,,29,Jul-19,247472,247472
,,34,Aug-19,246384,246384
Devonport Road,Plymouth,28,Aug-19,,
BICKHAM ROAD,PLYMOUTH,16,Sep-19,,
,,21,May-19,249234,249234
,,28,Jul-19,250403,250403
,,33,Aug-19,246280,246280
,,27,Aug-19,247745,247745
Efford Lane,PLYMOUTH,20,Aug-19,,
,,40,Mar-19,248535,248535
Charfield Drive,Plymouth,38,Jun-19,,
A386 Tavistock Road,Plymouth,51,Jun-19,,
A386 Tavistock Road,Plymouth,33,Jun-19,,
,,30,Jun-19,245253,245253
,,21,Jul-19,250491,250491
Brent Knowle Road,Plymouth,41,Aug-19,,
Honicknowle Lane,Plymouth,32,Sep-19,,
,,34,Aug-19,248168,248168
,,43,Jul-19,248530,248530
,,49,Jul-19,248561,248561
Morlaix Drive,Plymouth,32,Aug-19,,
,,45,Apr-19,248421,248421
,,24,Jul-19,254038,254038
,,27,Jul-19,254038,254038
Hampton Street,Plymouth,25,May-19,,
,,20,Sep-19,247412,247412
Pier Street,Plymouth,16,Aug-19,,
,,49,May-19,245899,245899
Cremyll Street,Plymouth,37,May-19,,
,,57,Mar-19,254025,254025
,,28,Apr-19,251464,251464
,,48,Apr-19,254031,254031
,,25,May-19,250700,250700
,,30,Jun-19,254038,254038
,,13,Mar-19,247745,247745
,,36,May-19,254032,254032
,,43,May-19,254058,254058
Chestnut Way,Honiton,35,Jun-19,,
,,59,Aug-19,246908,246908
,,37,Aug-19,166525,166525
Alexandra Road,Plymouth,40,Sep-19,,
,,33,Apr-19,252008,252008
Hill Park Crescent,Plymouth,30,May-19,,
Gwyn Road,Plymouth,37,May-19,,
,,16,Aug-19,247202,247202
Duke Street,Plymouth,28,May-19,,
Duke Street,Plymouth,27,May-19,,
,,31,May-19,1,1
,,35,Apr-19,247717,247717
,,50,Apr-19,246760,246760
,,30,Apr-19,248287,248287
,,13,May-19,247711,247711
,,43,Jun-19,248137,248137
Glanville Street,Plymouth,14,Jun-19,,
Cumberland Street,Plymouth,30,Sep-19,,
,,-1,Sep-19,250265,250265
Granby Way,Plymouth,27,Mar-19,,
,,15,Apr-19,250614,250614
,,16,Apr-19,247607,247607
,,14,May-19,247329,247329
,,21,Jun-19,249865,249865
,,21,Jun-19,245160,245160
,,25,Jun-19,246990,246990
New George Street,Plymouth,29,Aug-19,,
,,25,May-19,249476,249476
,,29,Mar-19,0,0
,,31,Mar-19,243926,243926
,,21,Mar-19,247399,247399
,,15,Apr-19,248371,248371
,,20,Jun-19,247096,247096
,,16,Jul-19,247813,247813
,,13,Jul-19,256098,256098
,,40,Apr-19,248549,248549
Morshead Road,Plymouth,28,May-19,,
Princes Street,Plymouth,33,Jun-19,,
Western Approach,Plymouth,33,Jun-19,,
Eggbuckland Road,Plymouth,34,Jul-19,,
,,16,Jul-19,244503,244503
,,15,Sep-19,249415,249415
,,21,Aug-19,249424,249424
,,20,Sep-19,249415,249415
,,14,May-19,249260,249260
,,21,Jun-19,248262,248262
,,26,Jun-19,249885,249885
,,26,Jul-19,248128,248128
,,16,Jul-19,248191,248191
,,30,Jun-19,247724,247724
Houndiscombe Road,Plymouth,31,Jun-19,,
Union Street,Plymouth,43,Aug-19,,
,,45,Mar-19,245665,245665
,,52,May-19,249394,249394
,,45,May-19,248035,248035
Jeffery Close,Plymouth,39,May-19,,
,,34,Apr-19,248234,248234
,,17,Apr-19,247508,247508
Tavistock Road,Plymouth,25,Jun-19,,
,,53,Sep-19,248178,248178
,,26,Sep-19,247746,247746
,,45,Aug-19,248333,248333
Western Approach,Plymouth,17,Mar-19,,
Bath Street Car Park,Plymouth,27,Mar-19,,
Durnford Street,Plymouth,38,May-19,,
Wyndham Street Lane,Plymouth,32,May-19,,
,,36,Jun-19,246860,246860
Octagon Street,Plymouth,20,Jul-19,,
,,24,Jul-19,245601,245601
Park Avenue,Plymouth,27,Jun-19,,
,,23,Jun-19,248532,248532
,,24,Mar-19,252558,252558
,,41,Mar-19,254090,254090
A38,Plympton,55,May-19,,
,,31,May-19,247048,247048
,,20,Jun-19,251592,251592
,,17,Jun-19,251587,251587
,,20,Jul-19,254062,254062
,,48,Jul-19,248317,248317
,,42,Jul-19,246400,246400
,,28,Jul-19,254037,254037
,,13,Jul-19,256102,256102
,,41,Aug-19,246053,246053
Richmond Walk,Plymouth,52,Aug-19,,
Western Approach,Plymouth,22,Aug-19,,
,,59,Aug-19,254041,254041
Molesworth Road,Plymouth,23,Aug-19,,
,,32,Sep-19,254034,254034
,,21,Sep-19,253982,253982
,,19,Aug-19,246147,246147
,,33,Apr-19,248485,248485
MUTLEY PLAIN,Plymouth,19,Jul-19,,
,,28,Jul-19,254048,254048
Bath Street,Plymouth,18,Jul-19,,
Adelaide Street,Plymouth,27,Jul-19,,
Mayflower Street,Plymouth,51,Jul-19,,
Adelaide Street,Plymouth,33,Aug-19,,
Flora COURT,Plymouth,34,Aug-19,,
Trelawney AVENUE,Plymouth,41,Sep-19,,
,,15,Apr-19,250602,250602
Hampton Street,Plymouth,27,May-19,,
Devonport Hill,Plymouth,15,Jun-19,,
,,46,Jul-19,247530,247530
,,21,Aug-19,254062,254062
North Hill,Plymouth,39,Apr-19,,
Clarence Place,Plymouth,31,May-19,,
Western Approach,Plymouth,18,Aug-19,,
Hampton St,Plymouth,45,Apr-19,,
Ebrington Street,Plymouth,20,Jun-19,,
,,31,Apr-19,245362,245362
,,25,Sep-19,248474,248474
A386,Tavistock,34,Sep-19,,
,,40,Jun-19,55793,55793
,,15,Jul-19,245243,245243
,,39,Apr-19,247603,247603
,,27,Apr-19,247589,247589
,,27,Apr-19,247595,247595
Devonport Hill,Plymouth,16,Jun-19,,
,,18,Jul-19,246947,246947
,,45,Aug-19,275490,275490
,,58,Jul-19,59564,59564
Princess Street,Plymouth,19,Jun-19,,
Western Approach,Plymouth,36,Jul-19,,
Greenbank Road,Plymouth,36,Mar-19,,
Mount Gould Road,Plymouth,41,Mar-19,,
,,21,Apr-19,248175,248175
Hastings Street,Plymouth,38,Apr-19,,
Mayflower Street,Plymouth,33,Jun-19,,
Courtney Street,Plymouth,44,Jun-19,,
,,25,Jun-19,246137,246137
,,21,May-19,250170,250170
,,40,May-19,248499,248499
,,47,Apr-19,248607,248607
,,17,Mar-19,251536,251536
,,18,Mar-19,251526,251526
,,31,May-19,245851,245851
,,39,May-19,249005,249005
,,31,Aug-19,254042,254042
,,26,Aug-19,254084,254084
Friars Lane,Plymouth,53,Aug-19,,
,,27,Jul-19,248065,248065
Lambhay Hill,Plymouth,55,Aug-19,,
,,27,Jul-19,0,0
,,29,Sep-19,0,0
,,26,Sep-19,296102,296102
,,55,Jun-19,245637,245637
St Leo Place Stoke,Plymouth,46,Aug-19,,
South Hill Stoke,Plymouth,50,Aug-19,,
,,25,Mar-19,248186,248186
,,25,Apr-19,248168,248168
White Friars Lane,Plymouth,37,May-19,,
,,20,Jun-19,249559,249559
North Road West,Plymouth,25,Jun-19,,
,,50,Aug-19,248180,248180
Cromartie Road,Plymouth,25,Aug-19,,
Kneele Gardens,Plymouth,36,Sep-19,,
Kneele Gardens,Plymouth,21,Sep-19,,
Ponsaby Road,Plymouth,42,Jun-19,,
,,19,Apr-19,254032,254032
Mutley Plain,Plymouth,48,Mar-19,,
,,13,Mar-19,247750,247750
,,26,May-19,248058,248058
,,21,May-19,250690,250690
,,29,Aug-19,248327,248327
,,30,Mar-19,248557,248557
Granby Way,Plymouth,34,Mar-19,,
,,16,Jul-19,245350,245350
Riverside Walk,Plymouth,30,Aug-19,,
,,15,Mar-19,247932,247932
,,20,Sep-19,248242,248242
,,22,Apr-19,0,0
,,37,Jul-19,61660,61660
,,29,Jul-19,248461,248461
Whitehaven Way,Plymouth,39,Aug-19,,
Cecil Street,Plymouth,31,Apr-19,,
St Mary's Sreet,Plymouth,34,Apr-19,,
Armada Way,Plymouth,33,Apr-19,,
,,41,May-19,247032,247032
Whitleigh Green,Plymouth,35,May-19,,
,,15,Jul-19,248460,248460
